hanzi,translation,pinyin
挨着,Next to,āizhe
挨打,Beaten,áidǎ
安检,Security check,ānjiǎn
罢了,Nothing more,bàle
白领,White collar,báilǐng
百分点,percentage point,bǎifēndiǎn
办公,Office,bàngōng
办事处,office,bànshìchù
办学,Run a school,bànxué
半决赛,Semifinal,bànjuésài
保健,health care,bǎojiàn
报刊,press,bàokān
报考,Apply for,bàokǎo
暴风雨,storm,bàofēngyǔ
暴雨,rainstorm,bàoyǔ
爆,burst,bào
背心,vest,bèixīn
背着,Carry,bèizhe
奔跑,run,bēnpǎo
本地,local,běndì
本期,This period,běnqī
本土,Native,běntǔ
逼,force,bī
笔试,written examination,bǐshì
必将,Sure to,bìjiāng
必修,Compulsory,bìxiū
闭,close,bì
编制,prepared by,biānzhì
变更,change,biàngēng
变换,Transform,biànhuàn
变形,Deformed,biànxíng
便是,Is,biànshì
遍地,Everywhere,biàndì
表面上,On the surface,biǎomiànshàng
病房,Ward,bìngfáng
病情,Condition,bìngqíng
拨打,Dial,bōdǎ
波动,fluctuation,bōdòng
播,broadcast,bō
不便,inconvenient,bùbiàn
不见,not see,bújiàn
不再,no longer,bùzài
不至于,Not less than,bùzhìyú
补考,Make-up exam,bǔkǎo
补课,Make up,bǔkè
补习,Tuition,bǔxí
补助,Subsidy,bǔzhù
捕,catch,bǔ
不成,Fail,bùchéng
不仅仅,Not just,bùjǐnjǐn
不通,Nowhere,bùtōng
不怎么,not very,bùzěnme
不怎么样,not so good,bùzěnmeyàng
不值,not worth,bùzhí
布满,Full of,bùmǎn
部队,force,bùduì
参赛,Participate,cānsài
参展,Exhibitors,cānzhǎn
餐,meal,cān
残疾,Disability,cánjí
残疾人,Handicapped,cánjírén
惨,awful,cǎn
藏,Tibetan,cáng
厕所,WC,cèsuǒ
侧,side,cè
测定,Determination,cèdìng
层面,Level,céngmiàn
差异,difference,chāyì
查出,find out,cháchū
查看,View,chákàn
拆迁,Demolition,chāiqiān
产量,Yield,chǎnliàng
长短,length,chángduǎn
长假,Long holiday,chángjià
长久,long,chángjiǔ
长跑,Long run,chángpǎo
长远,long,chángyuǎn
常规,conventional,chángguī
常年,Perennial,chángnián
厂商,Vendor,chǎngshāng
场地,site,chǎngdì
场馆,Venue,chǎngguǎn
场景,Scenes,chǎngjǐng
超,ultra,chāo
超出,Beyond,chāochū
炒股,Stocks,chǎogǔ
炒作,Hype,chǎozuò
车号,Car number,chēhào
车牌,License plate,chēpái
车展,Auto show,chēzhǎn
撤离,Evacuate,chèlí
撑,support,chēng
成,to make,chéng
成品,Finished product,chéngpǐn
城区,Urban area,chéngqū
城乡,Urban and rural,chéngxiāng
城镇,town,chéngzhèn
持有,hold,chíyǒu
重建,reconstruction,chóngjiàn
重组,Reorganization,chóngzǔ
出场,Appearance,chūchǎng
出动,Dispatch,chūdòng
出访,Visit,chūfǎng
出面,Come forward,chūmiàn
出名,famous,chūmíng
出入,Go in and out,chūrù
出事,Accident,chūshì
出台,Introduced,chūtái
出行,Travel,chūxíng
初等,Elementary,chūděng
除,except,chú
厨师,chef,chúshī
处处,Everywhere,chǔchù
处长,Director,chùzhǎng
传出,Outgoing,chuánchū
传媒,Media,chuánméi
传输,transmission,chuánshū
传言,Rumors,chuányán
船员,crew,chuányuán
船长,captain,chuánzhǎng
船只,vessel,chuánzhī
窗口,window,chuāngkǒu
创办,Founded,chuàngbàn
创建,create,chuàngjiàn
创意,Creativity,chuàngyì
此处,Here,cǐchù
此次,This time,cǐcì
此前,Before,cǐqián
此事,This matter,cǐshì
此致,Sincerely,cǐzhì
次数,frequency,cìshù
从不,Never,cóngbù
从没,Never,cóngméi
村庄,village,cūnzhuāng
错过,miss,cuòguò
打动,move,dǎdòng
打断,interrupt,dǎduàn
打发,Send,dǎfā
打牌,play cards,dǎpái
打印机,printer,dǎyìnjī
打造,Build,dǎzào
大道,Avenue,dàdào
大街,Main street,dàjiē
大力,vigorously,dàlì
大米,Rice,dàmǐ
大批,A large number,dàpī
大赛,Contest,dàsài
大师,Grandmaster,dàshī
大使,ambassador,dàshǐ
待会儿,Later,dàihuìer
担忧,Worries,dānyōu
单打,singles,dāndǎ
当成,Treat as,dàngchéng
当天,That day,dàngtiān
当作,Treat as,dàngzuò
档,files,dàng
岛,island,dǎo
到期,maturity,dàoqī
盗版,Piracy,dàobǎn
道教,Taoism,dàojiào
低头,Head down,dītóu
低温,Low temperature,dīwēn
地板,floor,dìbǎn
地名,Place name,dìmíng
地下室,basement,dìxiàshì
电车,tram,diànchē
电动,electric,diàndòng
电力,electricity,diànlì
电器,Electrical appliances,diànqì
调研,Research,diàoyán
定价,Pricing,dìngjià
定时,timing,dìngshí
定位,Positioning,dìngwèi
动画,Animation,dònghuà
都市,city,dūshì
赌,bet,dǔ
渡,Crossing,dù
短片,Short film,duǎnpiàn
对外,foreign,duìwài
多半,most,duōbàn
多方面,Many aspects,duōfāngmiàn
多媒体,multimedia,duōméitǐ
夺,Seize,duó
夺取,Seize,duóqǔ
恩人,benefactor,ēnrén
儿科,Pediatrics,érkē
发病,Onset,fābìng
发电,Power generation,fādiàn
发放,Issue,fāfàng
发怒,Get angry,fānù
发起,Initiate,fāqǐ
发言人,spokesman,fāyánrén
法庭,court,fǎtíng
法语,French,fǎyǔ
番茄,tomato,fānqié
凡是,all,fánshì
反响,repercussions,fǎnxiǎng
犯,Commit,fàn
犯规,foul,fànguī
犯罪,crime,fànzuì
防范,Guard against,fángfàn
房价,House price,fángjià
飞船,spaceship,fēichuán
飞行员,pilot,fēixíngyuán
肺,lung,fèi
分工,Division of labor,fēngōng
愤怒,anger,fènnù
峰会,Summit,fēnghuì
佛,Buddha,fú
佛教,Buddhism,fójiào
服,clothes,fú
浮,float,fú
父女,Father and daughter,fùnǚ
父子,Father and son,fùzǐ
负,negative,fù
复苏,recovery,fùsū
富人,The rich,fùrén
富有,rich,fùyǒu
改装,Refit,gǎizhuāng
肝,liver,gān
杆,Rod,gān
赶不上,Can&#39;t keep up,gǎnbùshàng
赶忙,quickly,gǎnmáng
赶上,catch up,gǎnshàng
敢于,Dare to,gǎnyú
感人,Touching,gǎnrén
刚好,just,gānghǎo
高层,High-level,gāocéng
高等,higher,gāoděng
高考,College entrance examination,gāokǎo
高科技,high tech,gāokējì
高手,Master,gāoshǒu
稿子,Manuscript,gǎozi
歌唱,singing,gēchàng
歌词,lyrics,gēcí
歌星,Singer,gēxīng
革新,innovation,géxīn
更是,even more,gèngshì
工商,Business,gōngshāng
公,public,gōng
公安,public security,gōngān
公鸡,cock,gōngjī
公众,public,gōngzhòng
宫,palace,gōng
构建,Construct,gòujiàn
孤儿,orphan,gūér
股,share,gǔ
顾,Gu,gù
刮,scratch,guā
拐,Abduction,guǎi
关爱,Caring,guānài
关联,Associate,guānlián
官司,lawsuit,guānsī
管道,pipeline,guǎndào
国产,Domestic,guóchǎn
国歌,National anthem,guógē
国会,Congress,guóhuì
国旗,National flag,guóqí
国王,king,guówáng
果酱,jam,guǒjiàng
果树,Fruit tree,guǒshù
过后,After,guòhòu
过时,Obsolete,guòshí
海报,poster,hǎibào
海底,seabed,hǎidǐ
海军,navy,hǎijūn
海浪,Waves,hǎilàng
海外,overseas,hǎiwài
海湾,bay,hǎiwān
好似,Like,hǎosì
好转,Get better,hǎozhuǎn
好学,Studious,hàoxué
合约,contract,héyuē
黑夜,Night,hēiyè
很难说,Hard to say,hěnnánshuō
狠,ruthless,hěn
横,horizontal,héng
衡量,measure,héngliáng
宏大,grand,hóngdà
互动,interactive,hùdòng
户外,outdoor,hùwài
护,Protect,hù
花费,spend,huāfèi
花瓶,vase,huāpíng
化解,Resolve,huàjiě
皇帝,emperor,huángdì
回应,Respond to,huíyìng
毁,destroy,huǐ
会见,meet,huìjiàn
会长,President,huìzhǎng
绘画,painting,huìhuà
昏,faint,hūn
混,mix,hùn
机动车,Motor vehicle,jīdòngchē
机关,organ,jīguān
基督教,Christian,jīdūjiào
吉利,auspicious,jílì
急救,first aid,jíjiù
集,set,jí
加盟,Join,jiāméng
家电,Home appliances,jiādiàn
家园,home,jiāyuán
假日,holiday,jiàrì
尖,tip,jiān
监测,monitor,jiāncè
简介,Introduction,jiǎnjiè
剑,sword,jiàn
箭,arrow,jiàn
讲课,lecture,jiǎngkè
酱,sauce,jiàng
脚印,footprint,jiǎoyìn
觉,feel,jué
教堂,church,jiàotáng
教育部,Ministry of Education,jiàoyùbù
接收,receive,jiēshōu
揭,Uncover,jiē
街头,street,jiētóu
节,Section,jié
节假日,Holidays,jiéjiàrì
节能,Energy saving,jiénéng
截止,Cut off,jiézhǐ
解,solution,jiě
解说,Commentary,jiěshuō
界,World,jiè
界,World,jiè
金额,Amount,jīné
金钱,money,jīnqián
尽,Exhausted,jǐn
近日,recently,jìnrì
近视,myopia,jìnshì
惊人,amazing,jīngrén
惊喜,Surprise,jīngxǐ
精,fine,jīng
精美,fine,jīngměi
精品,Boutique,jīngpǐn
景,view,jǐng
景点,Attractions,jǐngdiǎn
净,net,jìng
酒水,Drinks,jiǔshuǐ
救命,Help,jiùmìng
救援,Rescue,jiùyuán
救助,Rescue,jiùzhù
就是说,that is,jiùshìshuō
就算,Even if,jiùsuàn
局,Bureau,jú
剧,drama,jù
据,according to,jù
捐款,Donate,juānkuǎn
捐赠,Donate,juānzèng
捐助,Donate,juānzhù
绝,Absolutely,jué
绝大多数,Overwhelming majority,juédàduōshù
军舰,warship,jūnjiàn
开创,Create,kāichuàng
开关,switch,kāiguān
开设,open,kāishè
开通,Open,kāitōng
开头,beginning,kāitóu
开夜车,Drive at night,kāiyèchē
看,Look,kàn
看管,Watch over,kānguǎn
看得见,visible,kàndéjiàn
看得起,Worthy of,kàndeqǐ
看好,Optimistic about,kànhǎo
看作,See,kànzuò
康复,Recovery,kāngfù
抗议,protest,kàngyì
考场,examination room,kǎochǎng
考题,Exam questions,kǎotí
科研,research,kēyán
客车,bus,kèchē
肯,Ken,kěn
空军,air force,kōngjūn
口试,oral,kǒushì
扣,buckle,kòu
酷,Cool,kù
快车,express train,kuàichē
宽阔,wide,kuānkuò
矿,mine,kuàng
阔,wide,kuò
来往,Contact,láiwǎng
赖,rely,lài
蓝领,Blue collar,lánlǐng
蓝天,Blue sky,lántiān
牢,prison,láo
老乡,Fellow,lǎoxiāng
冷气,Air conditioner,lěngqì
冷水,cold water,lěngshuǐ
礼堂,hall,lǐtáng
理,Reason,lǐ
理财,Financial management,lǐcái
力,force,lì
利,Profit,lì
联赛,League,liánsài
联手,Join hands,liánshǒu
凉鞋,sandals,liángxié
两侧,Both sides,liǎngcè
两手,Two hands,liǎngshǒu
聊,chat,liáo
聊天儿,Chat,liáotiānér
料,material,liào
料,material,liào
裂,crack,liè
领取,receive,lǐngqǔ
另,another,lìng
留言,leave a message,liúyán
流感,influenza,liúgǎn
楼道,corridor,lóudào
楼房,Building,lóufáng
露,dew,lù
陆军,army,lùjūn
录像,Video,lùxiàng
录音机,recorder,lùyīnjī
路过,Passing by,lùguò
露,dew,lù
旅店,Inn,lǚdiàn
绿化,Greening,lǜhuà
马车,carriage,mǎchē
埋,Buried,mái
慢车,local,mànchē
盲人,blind,mángrén
梅花,Plum blossom,méihuā
美容,Beauty,měiróng
蒙,Mongolian,méng
蒙,Mongolian,méng
猛,fierce,měng
棉,cotton,mián
面对面,Face to face,miànduìmiàn
面向,Face to,miànxiàng
妙,wonderful,miào
灭,Extinguish,miè
民歌,folk song,míngē
民工,Migrant workers,míngōng
民警,Police,mínjǐng
民意,public opinion,mínyì
民主,democracy,mínzhǔ
名胜,Place of interest,míngshèng
名义,name,míngyì
明日,tomorrow,míngrì
命,Life,mìng
磨,mill,mó
没收,Confiscate,mòshōu
墨水,ink,mòshuǐ
母,mother,mǔ
母鸡,hen,mǔjī
母女,Mother and daughter,mǔnǚ
母子,Mother and child,mǔzi
墓,tomb,mù
拿走,Take away,názǒu
奶粉,milk powder,nǎifěn
奶牛,Cows,nǎiniú
难忘,memorable,nánwàng
内地,Mainland,nèidì
内外,inside and outside,nèiwài
内衣,underwear,nèiyī
能否,Can,néngfǒu
泥,mud,ní
扭,Twist,niǔ
排行榜,Leaderboard,páihángbǎng
派出,send,pàichū
判,Judge,pàn
泡,bubble,pào
炮,gun,pào
陪同,Accompany,péitóng
