hanzi,translation
挨着,Next to
挨打,Beaten
安检,Security check
罢了,Nothing more
白领,White collar
百分点,percentage point
办公,Office
办事处,office
办学,Run a school
半决赛,Semifinal
保健,health care
报刊,press
报考,Apply for
暴风雨,storm
暴雨,rainstorm
爆,burst
背心,vest
背着,Carry
奔跑,run
本地,local
本期,This period
本土,Native
逼,force
笔试,written examination
必将,Sure to
必修,Compulsory
闭,close
编制,prepared by
变更,change
变换,Transform
变形,Deformed
便是,Is
遍地,Everywhere
表面上,On the surface
病房,Ward
病情,Condition
拨打,Dial
波动,fluctuation
播,broadcast
不便,inconvenient
不见,not see
不再,no longer
不至于,Not less than
补考,Make-up exam
补课,Make up
补习,Tuition
补助,Subsidy
捕,catch
不成,Fail
不仅仅,Not just
不通,Nowhere
不怎么,not very
不怎么样,not so good
不值,not worth
布满,Full of
部队,force
参赛,Participate
参展,Exhibitors
餐,meal
残疾,Disability
残疾人,Handicapped
惨,awful
藏,Tibetan
厕所,WC
侧,side
测定,Determination
层面,Level
差异,difference
查出,find out
查看,View
拆迁,Demolition
产量,Yield
长短,length
长假,Long holiday
长久,long
长跑,Long run
长远,long
常规,conventional
常年,Perennial
厂商,Vendor
场地,site
场馆,Venue
场景,Scenes
超,ultra
超出,Beyond
炒股,Stocks
炒作,Hype
车号,Car number
车牌,License plate
车展,Auto show
撤离,Evacuate
撑,support
成,to make
成品,Finished product
城区,Urban area
城乡,Urban and rural
城镇,town
持有,hold
重建,reconstruction
重组,Reorganization
出场,Appearance
出动,Dispatch
出访,Visit
出面,Come forward
出名,famous
出入,Go in and out
出事,Accident
出台,Introduced
出行,Travel
初等,Elementary
除,except
厨师,chef
处处,Everywhere
处长,Director
传出,Outgoing
传媒,Media
传输,transmission
传言,Rumors
船员,crew
船长,captain
船只,vessel
窗口,window
创办,Founded
创建,create
创意,Creativity
此处,Here
此次,This time
此前,Before
此事,This matter
此致,Sincerely
次数,frequency
从不,Never
从没,Never
村庄,village
错过,miss
打动,move
打断,interrupt
打发,Send
打牌,play cards
打印机,printer
打造,Build
大道,Avenue
大街,Main street
大力,vigorously
大米,Rice
大批,A large number
大赛,Contest
大师,Grandmaster
大使,ambassador
待会儿,Later
担忧,Worries
单打,singles
当成,Treat as
当天,That day
当作,Treat as
档,files
岛,island
到期,maturity
盗版,Piracy
道教,Taoism
低头,Head down
低温,Low temperature
地板,floor
地名,Place name
地下室,basement
电车,tram
电动,electric
电力,electricity
电器,Electrical appliances
调研,Research
定价,Pricing
定时,timing
定位,Positioning
动画,Animation
都市,city
赌,bet
渡,Crossing
短片,Short film
对外,foreign
多半,most
多方面,Many aspects
多媒体,multimedia
夺,Seize
夺取,Seize
恩人,benefactor
儿科,Pediatrics
发病,Onset
发电,Power generation
发放,Issue
发怒,Get angry
发起,Initiate
发言人,spokesman
法庭,court
法语,French
番茄,tomato
凡是,all
反响,repercussions
犯,Commit
犯规,foul
犯罪,crime
防范,Guard against
房价,House price
飞船,spaceship
飞行员,pilot
肺,lung
分工,Division of labor
愤怒,anger
峰会,Summit
佛,Buddha
佛教,Buddhism
服,clothes
浮,float
父女,Father and daughter
父子,Father and son
负,negative
复苏,recovery
富人,The rich
富有,rich
改装,Refit
肝,liver
杆,Rod
赶不上,Can&#39;t keep up
赶忙,quickly
赶上,catch up
敢于,Dare to
感人,Touching
刚好,just
高层,High-level
高等,higher
高考,College entrance examination
高科技,high tech
高手,Master
稿子,Manuscript
歌唱,singing
歌词,lyrics
歌星,Singer
革新,innovation
更是,even more
工商,Business
公,public
公安,public security
公鸡,cock
公众,public
宫,palace
构建,Construct
孤儿,orphan
股,share
顾,Gu
刮,scratch
拐,Abduction
关爱,Caring
关联,Associate
官司,lawsuit
管道,pipeline
国产,Domestic
国歌,National anthem
国会,Congress
国旗,National flag
国王,king
果酱,jam
果树,Fruit tree
过后,After
过时,Obsolete
海报,poster
海底,seabed
海军,navy
海浪,Waves
海外,overseas
海湾,bay
好似,Like
好转,Get better
好学,Studious
合约,contract
黑夜,Night
很难说,Hard to say
狠,ruthless
横,horizontal
衡量,measure
