hanzi,translation,pinyin
按,press,àn
白菜,Chinese cabbage,báicài
班级,class,bānjí
搬家,move,bānjiā
板,board,bǎn
保,Protect,bǎo
保安,Security guard,bǎoān
报,Report,bào
报到,check in,bàodào
报道,Report,bàodào
背,Back,bèi
北部,North,běibù
背,Back,bèi
背后,behind,bèihòu
被,Be,bèi
变为,Becomes,biànwèi
表达,expression,biǎodá
表演,Performance,biǎoyǎn
并,and,bìng
播出,Broadcast,bōchū
播放,Play,bōfàng
不必,Don&#39;t have to,bùbì
不论,whether,bùlùn
补,Make up,bǔ
不光,not only,bùguāng
步,step,bù
部,unit,bù
部长,minister,bùzhǎng
才能,Ability,cáinéng
采用,use,cǎiyòng
彩色,color,cǎisè
长处,Strengths,chángchù
长期,long,chángqī
厂,plant,chǎng
超级,super,chāojí
吵,noisy,chǎo
衬衣,shirt,chènyī
称为,Called,chēngwéi
成熟,mature,chéngshú
城,city,chéng
重,weight,zhòng
初,early,chū
初,early,chū
初中,junior high school,chūzhōng
传,pass,chuán
传来,Came,chuánlái
村,village,cūn
存,Save,cún
错误,error,cuòwù
打破,break in,dǎpò
代,generation,dài
代表,representative,dàibiǎo
代表团,delegation,dàibiǎotuán
带动,drive,dàidòng
当地,local,dāngdì
当中,among,dāngzhōng
得分,Score,défēn
底下,under,dǐxià
电视剧,TV series,diànshìjù
电视台,TV station,diànshìtái
调,Tune,diào
订,Order,dìng
东部,east,dōngbù
动人,moving,dòngrén
读者,reader,dúzhě
短处,Shortcomings,duǎnchù
短裤,shorts,duǎnkù
短期,short term,duǎnqī
断,Cut off,duàn
队员,Players,duìyuán
顿,pause,dùn
发出,issue,fāchū
发送,send,fāsòng
范围,range,fànwéi
防,Guard against,fáng
房东,landlord,fángdōng
房屋,houses,fángwū
房租,rent,fángzū
访问,access,fǎngwèn
放到,Put to,fàngdào
飞行,flight,fēixíng
费,fee,fèi
费用,cost,fèiyòng
分组,Grouping,fēnzǔ
福,blessing,fú
父母,parents,fùmǔ
付,pay,fù
改造,Retrofit,gǎizào
赶,Rush,gǎn
赶到,Arrived,gǎndào
敢,dare,gǎn
干吗,Why,gànmá
高速,high speed,gāosù
高速公路,highway,gāosùgōnglù
歌迷,Fans,gēmí
歌声,singing,gēshēng
歌手,singer,gēshǒu
各地,Everywhere,gèdì
各位,Everybody,gèwèi
各种,Various,gèzhǒng
各自,respective,gèzì
更加,more,gèngjiā
工夫,time,gōngfū
工具,tool,gōngjù
公共,public,gōnggòng
公务员,Civil servant,gōngwùyuán
功夫,effort,gōngfū
功课,homework,gōngkè
共有,Share,gòngyǒu
古,ancient,gǔ
关注,attention,guānzhù
观看,Watch,guānkàn
管,tube,guǎn
国内,domestic,guónèi
国庆,National Day,guóqìng
果然,really,guǒrán
果汁,fruit juice,guǒzhī
哈哈,Haha,hāhā
好好,Good,hǎohǎo
合,Combine,hé
红茶,black tea,hóngchá
红酒,Red wine,hóngjiǔ
后面,Behind,hòumiàn
后年,The next year,hòunián
互联网,the Internet,hùliánwǎng
划船,boating,huáchuán
华人,Chinese,huárén
化,Transform,huà
话剧,Drama,huàjù
环,ring,huán
环保,Environmental protection,huánbǎo
会员,member,huìyuán
活,live,huó
基本上,basically,jīběnshàng
…极了,…Extremely,…jíle
加快,accelerate,jiākuài
加强,strengthen,jiāqiáng
价钱,price,jiàqián
架,frame,jià
