hanzi,translation,pinyin,location
挨着,Next to,āizhe,audios/āizhe.mp3
挨打,Beaten,áidǎ,audios/áidǎ.mp3
安检,Security check,ānjiǎn,audios/ānjiǎn.mp3
罢了,Nothing more,bàle,audios/bàle.mp3
白领,White collar,báilǐng,audios/báilǐng.mp3
百分点,percentage point,bǎifēndiǎn,audios/bǎifēndiǎn.mp3
办公,Office,bàngōng,audios/bàngōng.mp3
办事处,office,bànshìchù,audios/bànshìchù.mp3
办学,Run a school,bànxué,audios/bànxué.mp3
半决赛,Semifinal,bànjuésài,audios/bànjuésài.mp3
保健,health care,bǎojiàn,audios/bǎojiàn.mp3
报刊,press,bàokān,audios/bàokān.mp3
报考,Apply for,bàokǎo,audios/bàokǎo.mp3
暴风雨,storm,bàofēngyǔ,audios/bàofēngyǔ.mp3
暴雨,rainstorm,bàoyǔ,audios/bàoyǔ.mp3
爆,burst,bào,audios/bào.mp3
背心,vest,bèixīn,audios/bèixīn.mp3
背着,Carry,bèizhe,audios/bèizhe.mp3
奔跑,run,bēnpǎo,audios/bēnpǎo.mp3
本地,local,běndì,audios/běndì.mp3
本期,This period,běnqī,audios/běnqī.mp3
本土,Native,běntǔ,audios/běntǔ.mp3
逼,force,bī,audios/bī.mp3
笔试,written examination,bǐshì,audios/bǐshì.mp3
必将,Sure to,bìjiāng,audios/bìjiāng.mp3
必修,Compulsory,bìxiū,audios/bìxiū.mp3
闭,close,bì,audios/bì.mp3
编制,prepared by,biānzhì,audios/biānzhì.mp3
变更,change,biàngēng,audios/biàngēng.mp3
变换,Transform,biànhuàn,audios/biànhuàn.mp3
变形,Deformed,biànxíng,audios/biànxíng.mp3
便是,Is,biànshì,audios/biànshì.mp3
遍地,Everywhere,biàndì,audios/biàndì.mp3
表面上,On the surface,biǎomiànshàng,audios/biǎomiànshàng.mp3
病房,Ward,bìngfáng,audios/bìngfáng.mp3
病情,Condition,bìngqíng,audios/bìngqíng.mp3
拨打,Dial,bōdǎ,audios/bōdǎ.mp3
波动,fluctuation,bōdòng,audios/bōdòng.mp3
播,broadcast,bō,audios/bō.mp3
不便,inconvenient,bùbiàn,audios/bùbiàn.mp3
不见,not see,bújiàn,audios/bújiàn.mp3
不再,no longer,bùzài,audios/bùzài.mp3
不至于,Not less than,bùzhìyú,audios/bùzhìyú.mp3
补考,Make-up exam,bǔkǎo,audios/bǔkǎo.mp3
补课,Make up,bǔkè,audios/bǔkè.mp3
补习,Tuition,bǔxí,audios/bǔxí.mp3
补助,Subsidy,bǔzhù,audios/bǔzhù.mp3
捕,catch,bǔ,audios/bǔ.mp3
不成,Fail,bùchéng,audios/bùchéng.mp3
不仅仅,Not just,bùjǐnjǐn,audios/bùjǐnjǐn.mp3
不通,Nowhere,bùtōng,audios/bùtōng.mp3
不怎么,not very,bùzěnme,audios/bùzěnme.mp3
不怎么样,not so good,bùzěnmeyàng,audios/bùzěnmeyàng.mp3
不值,not worth,bùzhí,audios/bùzhí.mp3
布满,Full of,bùmǎn,audios/bùmǎn.mp3
部队,force,bùduì,audios/bùduì.mp3
参赛,Participate,cānsài,audios/cānsài.mp3
参展,Exhibitors,cānzhǎn,audios/cānzhǎn.mp3
餐,meal,cān,audios/cān.mp3
残疾,Disability,cánjí,audios/cánjí.mp3
残疾人,Handicapped,cánjírén,audios/cánjírén.mp3
惨,awful,cǎn,audios/cǎn.mp3
藏,Tibetan,cáng,audios/cáng.mp3
厕所,WC,cèsuǒ,audios/cèsuǒ.mp3
侧,side,cè,audios/cè.mp3
测定,Determination,cèdìng,audios/cèdìng.mp3
层面,Level,céngmiàn,audios/céngmiàn.mp3
差异,difference,chāyì,audios/chāyì.mp3
查出,find out,cháchū,audios/cháchū.mp3
查看,View,chákàn,audios/chákàn.mp3
拆迁,Demolition,chāiqiān,audios/chāiqiān.mp3
产量,Yield,chǎnliàng,audios/chǎnliàng.mp3
长短,length,chángduǎn,audios/chángduǎn.mp3
长假,Long holiday,chángjià,audios/chángjià.mp3
长久,long,chángjiǔ,audios/chángjiǔ.mp3
长跑,Long run,chángpǎo,audios/chángpǎo.mp3
长远,long,chángyuǎn,audios/chángyuǎn.mp3
常规,conventional,chángguī,audios/chángguī.mp3
常年,Perennial,chángnián,audios/chángnián.mp3
厂商,Vendor,chǎngshāng,audios/chǎngshāng.mp3
场地,site,chǎngdì,audios/chǎngdì.mp3
场馆,Venue,chǎngguǎn,audios/chǎngguǎn.mp3
场景,Scenes,chǎngjǐng,audios/chǎngjǐng.mp3
超,ultra,chāo,audios/chāo.mp3
超出,Beyond,chāochū,audios/chāochū.mp3
炒股,Stocks,chǎogǔ,audios/chǎogǔ.mp3
炒作,Hype,chǎozuò,audios/chǎozuò.mp3
车号,Car number,chēhào,audios/chēhào.mp3
车牌,License plate,chēpái,audios/chēpái.mp3
车展,Auto show,chēzhǎn,audios/chēzhǎn.mp3
撤离,Evacuate,chèlí,audios/chèlí.mp3
撑,support,chēng,audios/chēng.mp3
成,to make,chéng,audios/chéng.mp3
成品,Finished product,chéngpǐn,audios/chéngpǐn.mp3
城区,Urban area,chéngqū,audios/chéngqū.mp3
城乡,Urban and rural,chéngxiāng,audios/chéngxiāng.mp3
城镇,town,chéngzhèn,audios/chéngzhèn.mp3
持有,hold,chíyǒu,audios/chíyǒu.mp3
重建,reconstruction,chóngjiàn,audios/chóngjiàn.mp3
重组,Reorganization,chóngzǔ,audios/chóngzǔ.mp3
出场,Appearance,chūchǎng,audios/chūchǎng.mp3
出动,Dispatch,chūdòng,audios/chūdòng.mp3
出访,Visit,chūfǎng,audios/chūfǎng.mp3
出面,Come forward,chūmiàn,audios/chūmiàn.mp3
出名,famous,chūmíng,audios/chūmíng.mp3
出入,Go in and out,chūrù,audios/chūrù.mp3
出事,Accident,chūshì,audios/chūshì.mp3
出台,Introduced,chūtái,audios/chūtái.mp3
出行,Travel,chūxíng,audios/chūxíng.mp3
初等,Elementary,chūděng,audios/chūděng.mp3
除,except,chú,audios/chú.mp3
厨师,chef,chúshī,audios/chúshī.mp3
处处,Everywhere,chǔchù,audios/chǔchù.mp3
处长,Director,chùzhǎng,audios/chùzhǎng.mp3
传出,Outgoing,chuánchū,audios/chuánchū.mp3
传媒,Media,chuánméi,audios/chuánméi.mp3
传输,transmission,chuánshū,audios/chuánshū.mp3
传言,Rumors,chuányán,audios/chuányán.mp3
船员,crew,chuányuán,audios/chuányuán.mp3
船长,captain,chuánzhǎng,audios/chuánzhǎng.mp3
船只,vessel,chuánzhī,audios/chuánzhī.mp3
窗口,window,chuāngkǒu,audios/chuāngkǒu.mp3
创办,Founded,chuàngbàn,audios/chuàngbàn.mp3
创建,create,chuàngjiàn,audios/chuàngjiàn.mp3
创意,Creativity,chuàngyì,audios/chuàngyì.mp3
此处,Here,cǐchù,audios/cǐchù.mp3
此次,This time,cǐcì,audios/cǐcì.mp3
此前,Before,cǐqián,audios/cǐqián.mp3
此事,This matter,cǐshì,audios/cǐshì.mp3
此致,Sincerely,cǐzhì,audios/cǐzhì.mp3
次数,frequency,cìshù,audios/cìshù.mp3
从不,Never,cóngbù,audios/cóngbù.mp3
从没,Never,cóngméi,audios/cóngméi.mp3
村庄,village,cūnzhuāng,audios/cūnzhuāng.mp3
错过,miss,cuòguò,audios/cuòguò.mp3
打动,move,dǎdòng,audios/dǎdòng.mp3
打断,interrupt,dǎduàn,audios/dǎduàn.mp3
打发,Send,dǎfā,audios/dǎfā.mp3
打牌,play cards,dǎpái,audios/dǎpái.mp3
打印机,printer,dǎyìnjī,audios/dǎyìnjī.mp3
打造,Build,dǎzào,audios/dǎzào.mp3
大道,Avenue,dàdào,audios/dàdào.mp3
