hanzi,translation,pinyin,location,audio
挨着,Next to,āizhe,audios/āizhe.mp3,[sound:āizhe.mp3]
挨打,Beaten,áidǎ,audios/áidǎ.mp3,[sound:áidǎ.mp3]
安检,Security check,ānjiǎn,audios/ānjiǎn.mp3,[sound:ānjiǎn.mp3]
罢了,Nothing more,bàle,audios/bàle.mp3,[sound:bàle.mp3]
白领,White collar,báilǐng,audios/báilǐng.mp3,[sound:báilǐng.mp3]
百分点,percentage point,bǎifēndiǎn,audios/bǎifēndiǎn.mp3,[sound:bǎifēndiǎn.mp3]
办公,Office,bàngōng,audios/bàngōng.mp3,[sound:bàngōng.mp3]
办事处,office,bànshìchù,audios/bànshìchù.mp3,[sound:bànshìchù.mp3]
办学,Run a school,bànxué,audios/bànxué.mp3,[sound:bànxué.mp3]
半决赛,Semifinal,bànjuésài,audios/bànjuésài.mp3,[sound:bànjuésài.mp3]
保健,health care,bǎojiàn,audios/bǎojiàn.mp3,[sound:bǎojiàn.mp3]
报刊,press,bàokān,audios/bàokān.mp3,[sound:bàokān.mp3]
报考,Apply for,bàokǎo,audios/bàokǎo.mp3,[sound:bàokǎo.mp3]
暴风雨,storm,bàofēngyǔ,audios/bàofēngyǔ.mp3,[sound:bàofēngyǔ.mp3]
暴雨,rainstorm,bàoyǔ,audios/bàoyǔ.mp3,[sound:bàoyǔ.mp3]
爆,burst,bào,audios/bào.mp3,[sound:bào.mp3]
背心,vest,bèixīn,audios/bèixīn.mp3,[sound:bèixīn.mp3]
背着,Carry,bèizhe,audios/bèizhe.mp3,[sound:bèizhe.mp3]
奔跑,run,bēnpǎo,audios/bēnpǎo.mp3,[sound:bēnpǎo.mp3]
本地,local,běndì,audios/běndì.mp3,[sound:běndì.mp3]
本期,This period,běnqī,audios/běnqī.mp3,[sound:běnqī.mp3]
本土,Native,běntǔ,audios/běntǔ.mp3,[sound:běntǔ.mp3]
逼,force,bī,audios/bī.mp3,[sound:bī.mp3]
笔试,written examination,bǐshì,audios/bǐshì.mp3,[sound:bǐshì.mp3]
必将,Sure to,bìjiāng,audios/bìjiāng.mp3,[sound:bìjiāng.mp3]
必修,Compulsory,bìxiū,audios/bìxiū.mp3,[sound:bìxiū.mp3]
闭,close,bì,audios/bì.mp3,[sound:bì.mp3]
编制,prepared by,biānzhì,audios/biānzhì.mp3,[sound:biānzhì.mp3]
变更,change,biàngēng,audios/biàngēng.mp3,[sound:biàngēng.mp3]
变换,Transform,biànhuàn,audios/biànhuàn.mp3,[sound:biànhuàn.mp3]
变形,Deformed,biànxíng,audios/biànxíng.mp3,[sound:biànxíng.mp3]
便是,Is,biànshì,audios/biànshì.mp3,[sound:biànshì.mp3]
遍地,Everywhere,biàndì,audios/biàndì.mp3,[sound:biàndì.mp3]
表面上,On the surface,biǎomiànshàng,audios/biǎomiànshàng.mp3,[sound:biǎomiànshàng.mp3]
病房,Ward,bìngfáng,audios/bìngfáng.mp3,[sound:bìngfáng.mp3]
病情,Condition,bìngqíng,audios/bìngqíng.mp3,[sound:bìngqíng.mp3]
拨打,Dial,bōdǎ,audios/bōdǎ.mp3,[sound:bōdǎ.mp3]
波动,fluctuation,bōdòng,audios/bōdòng.mp3,[sound:bōdòng.mp3]
播,broadcast,bō,audios/bō.mp3,[sound:bō.mp3]
不便,inconvenient,bùbiàn,audios/bùbiàn.mp3,[sound:bùbiàn.mp3]
不见,not see,bújiàn,audios/bújiàn.mp3,[sound:bújiàn.mp3]
不再,no longer,bùzài,audios/bùzài.mp3,[sound:bùzài.mp3]
不至于,Not less than,bùzhìyú,audios/bùzhìyú.mp3,[sound:bùzhìyú.mp3]
补考,Make-up exam,bǔkǎo,audios/bǔkǎo.mp3,[sound:bǔkǎo.mp3]
补课,Make up,bǔkè,audios/bǔkè.mp3,[sound:bǔkè.mp3]
补习,Tuition,bǔxí,audios/bǔxí.mp3,[sound:bǔxí.mp3]
补助,Subsidy,bǔzhù,audios/bǔzhù.mp3,[sound:bǔzhù.mp3]
捕,catch,bǔ,audios/bǔ.mp3,[sound:bǔ.mp3]
不成,Fail,bùchéng,audios/bùchéng.mp3,[sound:bùchéng.mp3]
不仅仅,Not just,bùjǐnjǐn,audios/bùjǐnjǐn.mp3,[sound:bùjǐnjǐn.mp3]
不通,Nowhere,bùtōng,audios/bùtōng.mp3,[sound:bùtōng.mp3]
不怎么,not very,bùzěnme,audios/bùzěnme.mp3,[sound:bùzěnme.mp3]
不怎么样,not so good,bùzěnmeyàng,audios/bùzěnmeyàng.mp3,[sound:bùzěnmeyàng.mp3]
不值,not worth,bùzhí,audios/bùzhí.mp3,[sound:bùzhí.mp3]
布满,Full of,bùmǎn,audios/bùmǎn.mp3,[sound:bùmǎn.mp3]
部队,force,bùduì,audios/bùduì.mp3,[sound:bùduì.mp3]
参赛,Participate,cānsài,audios/cānsài.mp3,[sound:cānsài.mp3]
参展,Exhibitors,cānzhǎn,audios/cānzhǎn.mp3,[sound:cānzhǎn.mp3]
餐,meal,cān,audios/cān.mp3,[sound:cān.mp3]
残疾,Disability,cánjí,audios/cánjí.mp3,[sound:cánjí.mp3]
残疾人,Handicapped,cánjírén,audios/cánjírén.mp3,[sound:cánjírén.mp3]
