hanzi,translation,pinyin,location
按,press,àn,audios/àn.mp3
白菜,Chinese cabbage,báicài,audios/báicài.mp3
班级,class,bānjí,audios/bānjí.mp3
搬家,move,bānjiā,audios/bānjiā.mp3
板,board,bǎn,audios/bǎn.mp3
保,Protect,bǎo,audios/bǎo.mp3
保安,Security guard,bǎoān,audios/bǎoān.mp3
报,Report,bào,audios/bào.mp3
报到,check in,bàodào,audios/bàodào.mp3
报道,Report,bàodào,audios/bàodào.mp3
背,Back,bèi,audios/bèi.mp3
北部,North,běibù,audios/běibù.mp3
背,Back,bèi,audios/bèi.mp3
背后,behind,bèihòu,audios/bèihòu.mp3
被,Be,bèi,audios/bèi.mp3
变为,Becomes,biànwèi,audios/biànwèi.mp3
表达,expression,biǎodá,audios/biǎodá.mp3
表演,Performance,biǎoyǎn,audios/biǎoyǎn.mp3
并,and,bìng,audios/bìng.mp3
播出,Broadcast,bōchū,audios/bōchū.mp3
播放,Play,bōfàng,audios/bōfàng.mp3
不必,Don&#39;t have to,bùbì,audios/bùbì.mp3
不论,whether,bùlùn,audios/bùlùn.mp3
补,Make up,bǔ,audios/bǔ.mp3
不光,not only,bùguāng,audios/bùguāng.mp3
步,step,bù,audios/bù.mp3
部,unit,bù,audios/bù.mp3
部长,minister,bùzhǎng,audios/bùzhǎng.mp3
才能,Ability,cáinéng,audios/cáinéng.mp3
采用,use,cǎiyòng,audios/cǎiyòng.mp3
彩色,color,cǎisè,audios/cǎisè.mp3
长处,Strengths,chángchù,audios/chángchù.mp3
长期,long,chángqī,audios/chángqī.mp3
厂,plant,chǎng,audios/chǎng.mp3
超级,super,chāojí,audios/chāojí.mp3
吵,noisy,chǎo,audios/chǎo.mp3
衬衣,shirt,chènyī,audios/chènyī.mp3
称为,Called,chēngwéi,audios/chēngwéi.mp3
成熟,mature,chéngshú,audios/chéngshú.mp3
城,city,chéng,audios/chéng.mp3
重,weight,zhòng,audios/zhòng.mp3
初,early,chū,audios/chū.mp3
初,early,chū,audios/chū.mp3
初中,junior high school,chūzhōng,audios/chūzhōng.mp3
传,pass,chuán,audios/chuán.mp3
传来,Came,chuánlái,audios/chuánlái.mp3
村,village,cūn,audios/cūn.mp3
存,Save,cún,audios/cún.mp3
错误,error,cuòwù,audios/cuòwù.mp3
打破,break in,dǎpò,audios/dǎpò.mp3
代,generation,dài,audios/dài.mp3
代表,representative,dàibiǎo,audios/dàibiǎo.mp3
代表团,delegation,dàibiǎotuán,audios/dàibiǎotuán.mp3
带动,drive,dàidòng,audios/dàidòng.mp3
当地,local,dāngdì,audios/dāngdì.mp3
当中,among,dāngzhōng,audios/dāngzhōng.mp3
