hanzi,translation,pinyin,location
岸上,ashore,ànshàng,audios/ànshàng.mp3
拔,pull,bá,audios/bá.mp3
白酒,White wine,báijiǔ,audios/báijiǔ.mp3
版,Version,bǎn,audios/bǎn.mp3
棒,Baton,bàng,audios/bàng.mp3
报警,Call the police,bàojǐng,audios/bàojǐng.mp3
抱怨,complain,bàoyuàn,audios/bàoyuàn.mp3
背包,backpack,bēibāo,audios/bēibāo.mp3
悲剧,tragedy,bēijù,audios/bēijù.mp3
悲伤,sad,bēishāng,audios/bēishāng.mp3
辈,generation,bèi,audios/bèi.mp3
必,must,bì,audios/bì.mp3
必需,Required,bìxū,audios/bìxū.mp3
闭幕,Closing,bìmù,audios/bìmù.mp3
闭幕式,Closing Ceremony,bìmùshì,audios/bìmùshì.mp3
变动,change,biàndòng,audios/biàndòng.mp3
宾馆,Hotel,bīnguǎn,audios/bīnguǎn.mp3
饼,cake,bǐng,audios/bǐng.mp3
博客,Blog,bókè,audios/bókè.mp3
不利,unfavorable,bùlì,audios/bùlì.mp3
不幸,unfortunately,bùxìng,audios/bùxìng.mp3
不易,Not easy,bùyì,audios/bùyì.mp3
不曾,Never,bùcéng,audios/bùcéng.mp3
不良,bad,bùliáng,audios/bùliáng.mp3
不免,Inevitably,bùmiǎn,audios/bùmiǎn.mp3
不能不,Can&#39;t help but,bùnéngbù,audios/bùnéngbù.mp3
不停,Non-stop,bùtíng,audios/bùtíng.mp3
不许,Not allowed,bùxǔ,audios/bùxǔ.mp3
猜测,guess,cāicè,audios/cāicè.mp3
餐馆,restaurant,cānguǎn,audios/cānguǎn.mp3
餐厅,restaurant,cāntīng,audios/cāntīng.mp3
餐饮,food,cānyǐn,audios/cānyǐn.mp3
草原,grassland,cǎoyuán,audios/cǎoyuán.mp3
叉,cross,chā,audios/chā.mp3
差别,difference,chābié,audios/chābié.mp3
差距,gap,chājù,audios/chājù.mp3
查询,Inquire,cháxún,audios/cháxún.mp3
拆除,tear down,chāichú,audios/chāichú.mp3
长度,length,chángdù,audios/chángdù.mp3
长寿,longevity,chángshòu,audios/chángshòu.mp3
肠,intestinal,cháng,audios/cháng.mp3
厂长,Plant manager,chǎngzhǎng,audios/chǎngzhǎng.mp3
车主,Car owner,chēzhǔ,audios/chēzhǔ.mp3
称²,Weigh ²,chēng²,audios/chēng².mp3
城里,In the city,chénglǐ,audios/chénglǐ.mp3
乘,Multiply,chéng,audios/chéng.mp3
乘车,Ride,chéngchē,audios/chéngchē.mp3
乘客,passenger,chéngkè,audios/chéngkè.mp3
池子,pond,chízi,audios/chízi.mp3
迟,late,chí,audios/chí.mp3
愁,worry,chóu,audios/chóu.mp3
出汗,Sweating,chūhàn,audios/chūhàn.mp3
出于,Out of,chūyú,audios/chūyú.mp3
初期,Early,chūqī,audios/chūqī.mp3
厨房,kitchen,chúfáng,audios/chúfáng.mp3
处罚,Punishment,chǔfá,audios/chǔfá.mp3
处在,Be in,chùzài,audios/chùzài.mp3
传递,transfer,chuándì,audios/chuándì.mp3
辞典,dictionary,cídiǎn,audios/cídiǎn.mp3
此后,After that,cǐhòu,audios/cǐhòu.mp3
此刻,now,cǐkè,audios/cǐkè.mp3
此时,at this time,cǐshí,audios/cǐshí.mp3
从中,from,cóngzhōng,audios/cóngzhōng.mp3
脆,brittle,cuì,audios/cuì.mp3
存款,deposit,cúnkuǎn,audios/cúnkuǎn.mp3
寸,Inch,cùn,audios/cùn.mp3
答,answer,dá,audios/dá.mp3
打,hit,dǎ,audios/dǎ.mp3
大胆,Bold,dàdǎn,audios/dàdǎn.mp3
大都,Most,dàdū,audios/dàdū.mp3
大纲,Outline,dàgāng,audios/dàgāng.mp3
大奖赛,Grand Prix,dàjiǎngsài,audios/dàjiǎngsài.mp3
大脑,brain,dànǎo,audios/dànǎo.mp3
大事,event,dàshì,audios/dàshì.mp3
大厅,hall,dàtīng,audios/dàtīng.mp3
大熊猫,Giant panda,dàxióngmāo,audios/dàxióngmāo.mp3
大于,more than the,dàyú,audios/dàyú.mp3
待,To be,dài,audios/dài.mp3
