hanzi,translation,pinyin
爱人,Lover,àirén
白色,white,báisè
班长,Monitor,bānzhǎng
办,do,bàn
半夜,midnight,bànyè
背,Back,bèi
比如,such as,bǐrú
比如说,For example,bǐrúshuō
笔,pen,bǐ
笔记,notes,bǐjì
笔记本,notebook,bǐjìběn
边,side,biān
变,change,biàn
变成,become,biànchéng
表,table,biǎo
示,Show,shì
不错,Not bad,bùcuò
不但,Not only,bùdàn
不够,not enough,bùgòu
不太,Not quite,bùtài
不要,Don't,búyào
不好意思,Sorry,bùhǎoyìsī
不久,soon,bùjiǔ
不满,dissatisfied,bùmǎn
不少,A lot,bùshǎo
不同,different,bùtóng
不行,No way,bùxíng
不一定,Not necessarily,bùyídìng
不一会儿,Soon,bùyīhuìer
部分,section,bùfèn
草地,Grassland,cǎodì
查,check,chá
常见,common,chángjiàn
常用,Commonly used,chángyòng
场,field,chǎng
车辆,vehicle,chēliàng
称,Weigh,chēng
成,to make,chéng
出国,Go abroad,chūguó
出门,Go out,chūmén
出现,appear,chūxiàn
出院,Discharged,chūyuàn
出租,rent,chūzū
船,ferry,chuán
春节,Spring Festival,chūnjié
春天,spring,chūntiān
词,word,cí
词典,dictionary,cídiǎn
词语,Words,cíyǔ
从小,Since childhood,cóngxiǎo
大部分,most,dàbùfèn
大大,Greatly,dàdà
大多数,most,dàduōshù
大海,The sea,dàhǎi
大量,A lot,dàliàng
大门,door,dàmén
大人,grown ups,dàrén
大声,Loudly,dàshēng
大小,size,dàxiǎo
大衣,Overcoat,dàyī
大自然,nature,dàzìrán
带来,bring,dàilái
但,but,dàn
蛋,egg,dàn
倒,inverted,dào
倒,inverted,dào
道,Tao,dào
道路,the way,dàolù
得出,inferred,déchū
的话,if,dehuà
等到,wait until,děngdào
低,low,dī
地铁站,subway station,dìtiězhàn
点头,nod,diǎntóu
店,shop,diàn
东北,northeast,dōngběi
东方,East,dōngfāng
东南,southeast,dōngnán
冬天,winter,dōngtiān
懂得,know,dǒngde
动物园,zoo,dòngwùyuán
读音,pronunciation,dúyīn
度,degree,dù
短信,SMS,duǎnxìn
队,team,duì
队长,team leader,duìzhǎng
多久,how long,duōjiǔ
多数,most,duōshù
多云,partly cloudy,duōyún
发,hair,fā
饭馆,restaurant,fànguǎn
方便面,Instant noodles,fāngbiànmiàn
放下,lay down,fàngxià
分开,separate,fēnkāi
分数,fraction,fēnshù
封,seal,fēng
服务,service,fúwù
该,The,gāi
改,change,gǎi
感到,feel,gǎndào
刚,just,gāng
刚刚,just,gānggāng
高级,advanced,gāojí
