hanzi,translation,pinyin
矮小,Short,ǎixiǎo
爱国,patriotic,àiguó
安,An,ān
暗,dark,àn
巴士,Bus,bāshì
百货,Department store,bǎihuò
摆动,swing,bǎidòng
败,defeat,bài
办事,work,bànshì
包括,include,bāokuò
宝,treasure,bǎo
宝宝,baby,bǎobǎo
宝石,gem,bǎoshí
倍,Times,bèi
被迫,Forced,bèipò
比分,score,bǐfēn
毕业生,graduate,bìyèshēng
避,avoid,bì
编,Edit,biān
冰,ice,bīng
冰雪,Ice and snow,bīngxuě
兵,Soldiers,bīng
并,and,bìng
不在乎,not give a damn about,bùzàihū
步行,walk,bùxíng
测,Measurement,cè
测试,test,cèshì
曾,Once,céng
茶叶,tea,cháyè
唱片,record,chàngpiàn
抄写,copy,chāoxiě
潮,tide,cháo
潮湿,Damp,cháoshī
沉,Sink,chén
成人,adult,chéngrén
诚信,Honesty,chéngxìn
尺,ruler,chǐ
尺寸,size,chǐcùn
充电,Recharge,chōngdiàn
虫子,insect,chóngzi
抽,Pump,chōu
抽奖,lottery,chōujiǎng
出售,sell,chūshòu
处于,In,chǔyú
处,Place,chù
穿上,Put on,chuānshàng
窗台,windowsill,chuāngtái
窗子,window,chuāngzi
春季,spring,chūnjì
纯,pure,chún
纯净水,pure water,chúnjìngshuǐ
词汇,vocabulary,cíhuì
此,this,cǐ
粗,Crude,cū
促销,Promotion,cùxiāo
打,hit,dǎ
打败,defeat,dǎbài
打雷,thunder,dǎléi
大巴,Bus,dàbā
大多,most,dàduō
大哥,Big brother,dàgē
大规模,Large scale,dàguīmó
大会,General Assembly,dàhuì
大姐,Eldest sister,dàjiě
大楼,Building,dàlóu
大陆,mainland,dàlù
大妈,Aunt,dàmā
大爷,uncle,dàyé
大众,public,dàzhòng
代替,instead,dàitì
袋,bag,dài
单,single,dān
倒车,Reversing,dàochē
倒车,Reversing,dàochē
灯光,light,dēngguāng
登,Boarding,dēng
登山,Mountaineering,dēngshān
地面,ground,dìmiàn
地下,underground,dìxià
点名,Roll call,diǎnmíng
电灯,Electric light,diàndēng
电动车,Electric car,diàndòngchē
定,set,dìng
冬季,winter,dōngjì
动摇,shake,dòngyáo
独自,alone,dúzì
堵,Blocking,dǔ
对于,for,duìyú
多次,repeatedly,duōcì
多年,for many years,duōnián
多样,Variety,duōyàng
多种,Many kinds,duōzhǒng
而是,But,érshì
耳机,headset,ěrjī
二手,second hand,èrshǒu
法,law,fǎ
法官,judge,fǎguān
翻,turn,fān
烦,bother,fán
反,anti-,fǎn
反映,reflect,fǎnyìng
放松,Relax,fàngsōng
肥,fat,féi
分手,Break up,fēnshǒu
分为,Divided into,fēnwéi
…分之…,…By…,…fēnzhī…
风景,landscape,fēngjǐng
夫妻,Husband and wife,fūqī
付出,Give,fùchū
感兴趣,Interested in,gǎnxìngqù
高价,High price,gāojià
高铁,High-speed rail,gāotiě
隔,Separate,gé
隔开,Separate,gékāi
各个,each,gègè
工程,engineering,gōngchéng
供应,supply,gōngyìng
共,Total,gòng
构造,structure,gòuzào
购买,buy,gòumǎi
瓜,melon,guā
怪,strange,guài
归,Return,guī
海水,seawater,hǎishuǐ
含,With,hán
含量,content,hánliàng
