hanzi,translation,pinyin,location,audio
矮小,Short,ǎixiǎo,audios/ǎixiǎo.mp3,[sound:ǎixiǎo.mp3]
爱国,patriotic,àiguó,audios/àiguó.mp3,[sound:àiguó.mp3]
安,An,ān,audios/ān.mp3,[sound:ān.mp3]
暗,dark,àn,audios/àn.mp3,[sound:àn.mp3]
巴士,Bus,bāshì,audios/bāshì.mp3,[sound:bāshì.mp3]
百货,Department store,bǎihuò,audios/bǎihuò.mp3,[sound:bǎihuò.mp3]
摆动,swing,bǎidòng,audios/bǎidòng.mp3,[sound:bǎidòng.mp3]
败,defeat,bài,audios/bài.mp3,[sound:bài.mp3]
办事,work,bànshì,audios/bànshì.mp3,[sound:bànshì.mp3]
包括,include,bāokuò,audios/bāokuò.mp3,[sound:bāokuò.mp3]
宝,treasure,bǎo,audios/bǎo.mp3,[sound:bǎo.mp3]
宝宝,baby,bǎobǎo,audios/bǎobǎo.mp3,[sound:bǎobǎo.mp3]
宝石,gem,bǎoshí,audios/bǎoshí.mp3,[sound:bǎoshí.mp3]
倍,Times,bèi,audios/bèi.mp3,[sound:bèi.mp3]
被迫,Forced,bèipò,audios/bèipò.mp3,[sound:bèipò.mp3]
比分,score,bǐfēn,audios/bǐfēn.mp3,[sound:bǐfēn.mp3]
毕业生,graduate,bìyèshēng,audios/bìyèshēng.mp3,[sound:bìyèshēng.mp3]
避,avoid,bì,audios/bì.mp3,[sound:bì.mp3]
编,Edit,biān,audios/biān.mp3,[sound:biān.mp3]
冰,ice,bīng,audios/bīng.mp3,[sound:bīng.mp3]
冰雪,Ice and snow,bīngxuě,audios/bīngxuě.mp3,[sound:bīngxuě.mp3]
兵,Soldiers,bīng,audios/bīng.mp3,[sound:bīng.mp3]
并,and,bìng,audios/bìng.mp3,[sound:bìng.mp3]
不在乎,not give a damn about,bùzàihū,audios/bùzàihū.mp3,[sound:bùzàihū.mp3]
步行,walk,bùxíng,audios/bùxíng.mp3,[sound:bùxíng.mp3]
测,Measurement,cè,audios/cè.mp3,[sound:cè.mp3]
