hanzi,translation,pinyin,location
爱人,Lover,àirén,audios/àirén.mp3
白色,white,báisè,audios/báisè.mp3
班长,Monitor,bānzhǎng,audios/bānzhǎng.mp3
办,do,bàn,audios/bàn.mp3
半夜,midnight,bànyè,audios/bànyè.mp3
背,Back,bèi,audios/bèi.mp3
比如,such as,bǐrú,audios/bǐrú.mp3
比如说,For example,bǐrúshuō,audios/bǐrúshuō.mp3
笔,pen,bǐ,audios/bǐ.mp3
笔记,notes,bǐjì,audios/bǐjì.mp3
笔记本,notebook,bǐjìběn,audios/bǐjìběn.mp3
边,side,biān,audios/biān.mp3
变,change,biàn,audios/biàn.mp3
变成,become,biànchéng,audios/biànchéng.mp3
表,table,biǎo,audios/biǎo.mp3
示,Show,shì,audios/shì.mp3
不错,Not bad,bùcuò,audios/bùcuò.mp3
不但,Not only,bùdàn,audios/bùdàn.mp3
不够,not enough,bùgòu,audios/bùgòu.mp3
不太,Not quite,bùtài,audios/bùtài.mp3
不要,Don't,búyào,audios/búyào.mp3
不好意思,Sorry,bùhǎoyìsī,audios/bùhǎoyìsī.mp3
不久,soon,bùjiǔ,audios/bùjiǔ.mp3
不满,dissatisfied,bùmǎn,audios/bùmǎn.mp3
不少,A lot,bùshǎo,audios/bùshǎo.mp3
不同,different,bùtóng,audios/bùtóng.mp3
不行,No way,bùxíng,audios/bùxíng.mp3
不一定,Not necessarily,bùyídìng,audios/bùyídìng.mp3
不一会儿,Soon,bùyīhuìer,audios/bùyīhuìer.mp3
部分,section,bùfèn,audios/bùfèn.mp3
草地,Grassland,cǎodì,audios/cǎodì.mp3
查,check,chá,audios/chá.mp3
常见,common,chángjiàn,audios/chángjiàn.mp3
常用,Commonly used,chángyòng,audios/chángyòng.mp3
场,field,chǎng,audios/chǎng.mp3
车辆,vehicle,chēliàng,audios/chēliàng.mp3
称,Weigh,chēng,audios/chēng.mp3
成,to make,chéng,audios/chéng.mp3
出国,Go abroad,chūguó,audios/chūguó.mp3
出门,Go out,chūmén,audios/chūmén.mp3
出现,appear,chūxiàn,audios/chūxiàn.mp3
出院,Discharged,chūyuàn,audios/chūyuàn.mp3
出租,rent,chūzū,audios/chūzū.mp3
船,ferry,chuán,audios/chuán.mp3
