hanzi,translation,pinyin
白天,day,báitiān
半年,Half a year,bànnián
半天,long time,bàntiān
帮,help,bāng
包子,bun,bāozi
杯,cup,bēi
北,north,běi
北边,North side,běibiān
本子,book,běnzi
别的,Other,biéde
别人,other people,biérén
病,disease,bìng
病人,patient,bìngrén
不大,Not big,bùdà
不对,wrong,búduì
不用,No need to,bùyòng
常,often,cháng
常常,often,chángcháng
唱,sing,chàng
车,car,chē
车票,ticket,chēpiào
车上,In the car,chēshàng
车站,station,chēzhàn
吃饭,eat,chīfàn
出来,come out,chūlái
出去,Go out,chūqù
床,bed,chuáng
从,From,cóng
打,hit,dǎ
打车,Take a taxi,dǎchē
打开,turn on,dǎkāi
打球,Play ball,dǎqiú
大学,the University,dàxué
大学生,College Students,dàxuéshēng
得到,get,dédào
地点,location,dìdiǎn
地上,On the ground,dìshàng
第,First,dì
电,Electricity,diàn
电话,phone,diànhuà
电视机,TV set,diànshìjī
电影院,cinema,diànyǐngyuàn
东边,East side,dōngbiān
动,move,dòng
读书,reading,dúshū
饭,rice,fàn
饭店,restaurant,fàndiàn
房子,house,fángzi
放假,holiday,fàngjià
放学,After school,fàngxué
飞,fly,fēi
风,wind,fēng
干,dry,gàn
干,dry,gàn
干什么,What to do,gànshénme
歌,song,gē
关上,close,guānshàng
国,country,guó
国外,foreign,guówài
还有,and also,háiyǒu
汉字,Chinese character,hànzì
好看,good looking,hǎokàn
好听,Nice,hǎotīng
好玩儿,Fun,hǎowánér
号,number,hào
后,Rear,hòu
后边,behind,hòubiān
后天,acquired,hòutiān
话,words,huà
回答,Reply,huídá
回到,Back to,huídào
回家,Come back home,huíjiā
回来,come back,huílái
回去,go back,huíqù
火车,train,huǒchē
机票,Air tickets,jīpiào
几,a few,jǐ
记,Remember,jì
记住,remember,jìzhù
家里,Home,jiālǐ
家人,family,jiārén
间,between,jiān
见,see,jiàn
教学楼,Teaching building,jiàoxuélóu
今年,this year,jīnnián
进来,Come in,jìnlái
进去,Go in,jìnqù
开车,Drive,kāichē
开会,Have a meeting,kāihuì
看,Look,kàn
看病,see a doctor,kànbìng
看到,see,kàndào
考,test,kǎo
课本,textbook,kèběn
课文,text,kèwén
来到,come,láidào
老人,Old man,lǎorén
累,tired,lèi
里边,inside,lǐbiān
零,zero,líng
楼上,upstairs,lóushàng
楼下,downstairs,lóuxià
路口,intersection,lùkǒu
路上,On the road,lùshàng
马路,road,mǎlù
马上,immediately,mǎshàng
