hanzi,translation,pinyin,location,audio
白天,day,báitiān,audios/báitiān.mp3,[sound:báitiān.mp3]
半年,Half a year,bànnián,audios/bànnián.mp3,[sound:bànnián.mp3]
半天,long time,bàntiān,audios/bàntiān.mp3,[sound:bàntiān.mp3]
帮,help,bāng,audios/bāng.mp3,[sound:bāng.mp3]
包子,bun,bāozi,audios/bāozi.mp3,[sound:bāozi.mp3]
杯,cup,bēi,audios/bēi.mp3,[sound:bēi.mp3]
北,north,běi,audios/běi.mp3,[sound:běi.mp3]
北边,North side,běibiān,audios/běibiān.mp3,[sound:běibiān.mp3]
本子,book,běnzi,audios/běnzi.mp3,[sound:běnzi.mp3]
别的,Other,biéde,audios/biéde.mp3,[sound:biéde.mp3]
别人,other people,biérén,audios/biérén.mp3,[sound:biérén.mp3]
病,disease,bìng,audios/bìng.mp3,[sound:bìng.mp3]
病人,patient,bìngrén,audios/bìngrén.mp3,[sound:bìngrén.mp3]
不大,Not big,bùdà,audios/bùdà.mp3,[sound:bùdà.mp3]
不对,wrong,búduì,audios/búduì.mp3,[sound:búduì.mp3]
不用,No need to,bùyòng,audios/bùyòng.mp3,[sound:bùyòng.mp3]
常,often,cháng,audios/cháng.mp3,[sound:cháng.mp3]
常常,often,chángcháng,audios/chángcháng.mp3,[sound:chángcháng.mp3]
唱,sing,chàng,audios/chàng.mp3,[sound:chàng.mp3]
车,car,chē,audios/chē.mp3,[sound:chē.mp3]
车票,ticket,chēpiào,audios/chēpiào.mp3,[sound:chēpiào.mp3]
车上,In the car,chēshàng,audios/chēshàng.mp3,[sound:chēshàng.mp3]
车站,station,chēzhàn,audios/chēzhàn.mp3,[sound:chēzhàn.mp3]
吃饭,eat,chīfàn,audios/chīfàn.mp3,[sound:chīfàn.mp3]
出来,come out,chūlái,audios/chūlái.mp3,[sound:chūlái.mp3]
出去,Go out,chūqù,audios/chūqù.mp3,[sound:chūqù.mp3]
床,bed,chuáng,audios/chuáng.mp3,[sound:chuáng.mp3]
从,From,cóng,audios/cóng.mp3,[sound:cóng.mp3]
打,hit,dǎ,audios/dǎ.mp3,[sound:dǎ.mp3]
打车,Take a taxi,dǎchē,audios/dǎchē.mp3,[sound:dǎchē.mp3]
打开,turn on,dǎkāi,audios/dǎkāi.mp3,[sound:dǎkāi.mp3]
打球,Play ball,dǎqiú,audios/dǎqiú.mp3,[sound:dǎqiú.mp3]
大学,the University,dàxué,audios/dàxué.mp3,[sound:dàxué.mp3]
大学生,College Students,dàxuéshēng,audios/dàxuéshēng.mp3,[sound:dàxuéshēng.mp3]
得到,get,dédào,audios/dédào.mp3,[sound:dédào.mp3]
地点,location,dìdiǎn,audios/dìdiǎn.mp3,[sound:dìdiǎn.mp3]
地上,On the ground,dìshàng,audios/dìshàng.mp3,[sound:dìshàng.mp3]
